ID,State,Name,Category,Income Eligibility,Qualification,Eligible Courses,Special Criteria,Minimum Qualification,Description,Type,Selection Process,Award Amount,Duration,Application Deadline,Registration Link
1,Tamil Nadu,Tamil Nadu Government Scholarship for BC/MBC/DNC,BC/MBC/DNC,"INR 200,000",School/UG/PG,School/ug/pg,Not Specified,Not Specified,Scholarship for BC/MBC/DNC students in Tamil Nadu for education.,Government,Not Specified,Varies,1 year (renewable),October,https://escholarship.tn.gov.in/
2,Maharashtra,Post Matric Scholarship for OBC Students by Maharashtra Govt,OBC,"INR 100,000",Post-Matric,Post-matric,OBC category,Not Specified,Financial aid for OBC students for higher studies.,Government,Not Specified,"Up to INR 5,000",1 year,November,https://mahadbt.maharashtra.gov.in/
3,All India,Central Sector Scheme of Scholarships for College and University Students,General/OBC/SC/ST,"INR 800,000",12th pass,12th pass,SC/ST category,80% in Class 12,Scholarships for meritorious students from low-income families.,Government,Not Specified,"INR 20,000/year",Up to 5 years,October,https://scholarships.gov.in/
4,Delhi,Delhi Govt Reimbursement of Tuition Fee for SC/ST/OBC/Minority,SC/ST/OBC/Minority,"INR 250,000",School/College,School/college,Minority category,Not Specified,Reimbursement of tuition fees for eligible students in Delhi.,Government,Not Specified,Full tuition fee,Annual,November,http://scstwelfare.delhigovt.nic.in/
5,Karnataka,Vidyasiri Scholarship,SC/ST/OBC,"INR 250,000",Post-Matric,In post-matric,SC/ST category,Not Specified,Scholarship for backward class students to continue education.,Private,Not Specified,"Up to INR 15,000",Annual,December,https://ssp.postmatric.karnataka.gov.in/
6,West Bengal,Swami Vivekananda Merit-cum-Means Scholarship,General/OBC/SC/ST,"INR 250,000",HS/UG/PG,Hs/ug/pg,SC/ST category,60% in last qualifying exam,Scholarship to support meritorious and economically weaker students.,Private,Not Specified,"Up to INR 8,000/month",Up to 4 years,November,https://svmcm.wbhed.gov.in/
7,Kerala,Higher Education Scholarship - Kerala,General/OBC/SC/ST,"INR 150,000",UG/PG,Ug/pg,SC/ST category,Not Specified,Scholarship for students pursuing higher education in Kerala.,Private,Not Specified,"INR 12,000/year",Annual,October,https://www.dcescholarship.kerala.gov.in/
8,All India,INSPIRE Scholarship,General/OBC/SC/ST,"INR 100,000",Science UG,Natural science ug,SC/ST category,1% in 12th board exam,For top 1% performers in 12th pursuing Natural Sciences.,Private,Not Specified,"INR 80,000/year",5 years,December,http://online-inspire.gov.in/
9,Gujarat,Mukhyamantri Yuva Swavalamban Yojana (MYSY),General/OBC/SC/ST,"INR 600,000",12th pass,Students pursuing professional,SC/ST category,Not Specified,Tuition fee assistance for students pursuing professional courses.,Not Specified,Not Specified,Up to INR 2 Lakhs/year,Annual,October,https://mysy.guj.nic.in/
10,All India,AICTE Pragati Scholarship for Girls,General/OBC/SC/ST,"INR 800,000",1st-year UG Technical,1st-year ug technical,Female category,Not Specified,Support for girl students in 1st year of AICTE approved courses.,Private,Not Specified,"INR 50,000/year",4 years,December,https://www.aicte-india.org/schemes/students-development-schemes/Pragati
11,All India,Post-Matric Scholarship Scheme for Minorities,Minority Communities,"INR 200,000",11th to Ph.D.,11th to ph.d.,Minority category,50% in last qualifying exam,Financial support for minority students pursuing higher studies.,Private,Not Specified,Varies,Annual (renewable),August,https://scholarships.gov.in/
12,Uttar Pradesh,UP Post Matric Scholarship,SC/ST/OBC/Minority,"INR 200,000",10th pass,Recognized post-matric,Minority category,Not Specified,Aid for economically backward students in UP.,Private,Not Specified,"Up to INR 5,700",Annual,July,https://scholarship.up.gov.in/
13,Haryana,Haryana Post Matric Scholarship,SC/BC,"INR 250,000",10th pass,10th pass,Not Specified,Not Specified,Support for SC/BC students for higher education in Haryana.,Private,Not Specified,"Up to INR 8,000",Annual,September,https://harchhatravratti.highereduhry.ac.in/
