ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
1,Punjab,Diversity Law Scholarship by Indian Education Trust,Minority,1500000,HSC,Diversity Law Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 89213 per year.,International,INR 89213,3 years,7th September 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the EWS category. Applicants must be residents of Haryana.
2,West Bengal,Leadership Economics Scholarship by Ambani Institute,all,1000000,HSC,Leadership Economics Scholarship by Ambani Institute provides financial assistance to students in all category. The award amount is INR 12500 per year.,NGO,INR 12500,3 years,22th June 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Uttar Pradesh.
3,West Bengal,Research Entrepreneurship Scholarship by Indian Education Trust,SEBC,750000,Graduation,Research Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in SEBC category. The award amount is INR 102907 per year.,Corporate,INR 102907,4 years,2th September 2025,Applicant must have scored at least 66% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Rajasthan.
4,Odisha,Merit Agriculture Scholarship by Indian Science Society,General,1500000,Medical,Merit Agriculture Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 17912 per year.,Corporate,INR 17912,1 years,9th September 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Jharkhand.
5,Uttarakhand,Empowerment Arts Scholarship by Indian Science Society,SEBC,500000,Ph.D.,Empowerment Arts Scholarship by Indian Science Society provides financial assistance to students in SEBC category. The award amount is INR 140560 per year.,Government,INR 140560,4 years,29th July 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the Minority category. Applicants must be residents of Assam.
6,Karnataka,Merit Social Sciences Scholarship by Bharti Enterprises,ST,500000,Medical,Merit Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 97675 per year.,Private,INR 97675,2 years,13th July 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the all category. Applicants must be residents of Odisha.
7,Gujarat,Sustainability Economics Scholarship by Tata Foundation,SC,250000,Ph.D.,Sustainability Economics Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 110729 per year.,International,INR 110729,2 years,7th June 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Maharashtra.
8,Gujarat,Innovation Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation,SC,500000,Medical,Innovation Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 41237 per year.,International,INR 41237,3 years,22th July 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Tamil Nadu.
9,Punjab,Leadership Economics Scholarship by Indian Science Society,EWS,1500000,Ph.D.,Leadership Economics Scholarship by Indian Science Society provides financial assistance to students in EWS category. The award amount is INR 32015 per year.,NGO,INR 32015,3 years,7th September 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Madhya Pradesh.
10,Delhi,Empowerment Social Sciences Scholarship by Indian Science Society,ST,1500000,Medical,Empowerment Social Sciences Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 110568 per year.,International,INR 110568,1 years,17th August 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the OBC category. Applicants must be residents of Odisha.
11,Rajasthan,Empowerment Law Scholarship by Indian Education Trust,Minority,500000,Ph.D.,Empowerment Law Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 81368 per year.,NGO,INR 81368,1 years,2th August 2025,Applicant must have scored at least 78% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the all category. Applicants must be residents of Odisha.
12,Kerala,Empowerment Literature Scholarship by IIT Foundation,OBC,750000,Ph.D.,Empowerment Literature Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 8899 per year.,International,INR 8899,3 years,24th September 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Chhattisgarh.
13,Madhya Pradesh,Global Economics Scholarship by Indian Science Society,General,500000,HSC,Global Economics Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 91768 per year.,Corporate,INR 91768,2 years,10th June 2025,Applicant must have scored at least 83% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the EWS category. Applicants must be residents of Tamil Nadu.
14,Telangana,Research Social Sciences Scholarship by Indian Science Society,General,1500000,Diploma,Research Social Sciences Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 132110 per year.,Government,INR 132110,1 years,7th September 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the General category. Applicants must be residents of Andhra Pradesh.
15,Delhi,Innovation Medical Scholarship by Indian Education Trust,General,0,Engineering,Innovation Medical Scholarship by Indian Education Trust provides financial assistance to students in General category. The award amount is INR 17736 per year.,Corporate,INR 17736,3 years,17th August 2025,Applicant must have scored at least 56% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Kerala.
16,Bihar,Sustainability Entrepreneurship Scholarship by Indian Government,all,250000,Diploma,Sustainability Entrepreneurship Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 101518 per year.,International,INR 101518,2 years,27th July 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Karnataka.
17,Uttarakhand,Diversity Social Sciences Scholarship by IIT Foundation,ST,250000,HSC,Diversity Social Sciences Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 41507 per year.,Corporate,INR 41507,4 years,20th August 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Haryana.
18,Rajasthan,Innovation STEM Scholarship by Tata Foundation,EWS,1500000,Ph.D.,Innovation STEM Scholarship by Tata Foundation provides financial assistance to students in EWS category. The award amount is INR 18067 per year.,International,INR 18067,2 years,16th June 2025,Applicant must have scored at least 64% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SC category. Applicants must be residents of Jharkhand.
19,Tamil Nadu,Empowerment Law Scholarship by IIT Foundation,EWS,250000,Engineering,Empowerment Law Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 56632 per year.,NGO,INR 56632,3 years,28th August 2025,Applicant must have scored at least 68% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Rajasthan.
20,Gujarat,Global Engineering Scholarship by Indian Science Society,OBC,750000,Engineering,Global Engineering Scholarship by Indian Science Society provides financial assistance to students in OBC category. The award amount is INR 141156 per year.,Corporate,INR 141156,2 years,13th September 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Uttarakhand.
21,Maharashtra,Community Economics Scholarship by JNU Research,ST,0,Engineering,Community Economics Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 123337 per year.,Corporate,INR 123337,4 years,19th July 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the all category. Applicants must be residents of Haryana.
22,Telangana,Empowerment Economics Scholarship by Tata Foundation,SC,750000,HSC,Empowerment Economics Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 61361 per year.,Government,INR 61361,1 years,17th September 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Kerala.
23,Punjab,Sustainability Agriculture Scholarship by Indian Government,SC,250000,HSC,Sustainability Agriculture Scholarship by Indian Government provides financial assistance to students in SC category. The award amount is INR 147143 per year.,Government,INR 147143,3 years,1th June 2025,Applicant must have scored at least 52% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the EWS category. Applicants must be residents of Gujarat.
24,Delhi,Diversity Social Sciences Scholarship by Mahatma Gandhi Trust,SEBC,1500000,Medical,Diversity Social Sciences Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SEBC category. The award amount is INR 82443 per year.,Government,INR 82443,3 years,15th August 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the SC category. Applicants must be residents of Kerala.
25,Madhya Pradesh,Community Engineering Scholarship by Tata Foundation,all,1000000,Ph.D.,Community Engineering Scholarship by Tata Foundation provides financial assistance to students in all category. The award amount is INR 10960 per year.,Government,INR 10960,1 years,22th July 2025,Applicant must have scored at least 77% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Karnataka.
26,Odisha,Excellence Literature Scholarship by Indian Science Society,EWS,1000000,Graduation,Excellence Literature Scholarship by Indian Science Society provides financial assistance to students in EWS category. The award amount is INR 147177 per year.,Private,INR 147177,1 years,17th August 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the ST category. Applicants must be residents of Punjab.
